Category,Item Name,16oz Price,22oz Price
"Classic","Americano","69","89"
"Classic","Coffee Latte'","79","99"
"Classic","Caramel Latte'","89","109"
"Classic","Caramel Macchiato","99","119"
"Classic","Creamy Hazelnut","89","109"
"Classic","Mocha Latte'","89","119"
"Classic","Spanish Latte'","89","109"
"Classic","Seasalt Latte'","89","119"
"Classic","Vanilla Latte'","89","109"
"Premium","Caramel Macchiato","109","129"
"Premium","Creamy Hazelnut","99","119"
"Premium","Mocha Latte'","109","129"
"Premium","Seasalt Latte'","109","129"
"Premium","Dirty Matcha","119","139"
"Premium","Salted Caramel","109","129"
